Day,Sleep,Work,Class,Debate,Voyager,Clubs,Internship,Competitions,Research,Recruiting,Blogging,Tutoring,FoShoTrans,Exercise,Reading,Social,Planning,Meditate,Media,Mood,
9/19/2020,7,11.5,0.5,6.25,0,0.75,0,0,3.5,0.5,0,0,1,0,1.5,2.25,0,0,0.75,5,24
9/20/2020,8,9,2,3.75,0,2.25,0,0,1,0,0,0,1.25,1,2.75,1.75,0.25,0,0,6,24
9/21/2020,7.75,10,1.5,4.5,0.25,0.5,0,0,1,0,0,2.25,1.5,1.75,1.5,0,0.25,0.25,1,5,24
9/22/2020,8,7,0,4,0,1.5,0,0,0.5,0,0,1,1,2,0,2,0.25,0.25,3.5,5,24
9/23/2020,7.5,12,4.25,2.5,0,2.75,0,0,0,0.5,0,2,1.75,1,1.5,0,0.25,0,0,6,24
9/24/2020,8.25,13,5.5,3.75,2,0,0,0,0.5,0,0,1.25,0.25,0,1.75,0,0.25,0.25,0.25,7,24
9/25/2020,8.25,11.5,1.75,1.75,0.5,0,0,0,0,7.5,0,0,1,0.75,0,0.5,0.25,0,1.75,6,24
9/26/2020,6.75,13.25,0,13.25,0,0,0,0,0,0,0,0,0.75,0,0.25,2.25,0.25,0,0.5,5,24
9/27/2020,8.25,12.5,0,10,1,1.5,0,0,0,0,0,0,0.25,0.5,0,1.25,0.25,0,1,5,24
9/28/2020,10,8.5,2.75,2,2.5,1.25,0,0,0,0,0,0,1,1.5,0.25,2,0.25,0,0.5,4,24
9/29/2020,8,9.25,8,0.5,0.75,0,0,0,0,0,0,0,1,1.25,0,2.5,0.25,0.25,1.5,5,24
9/30/2020,9,12.25,4.5,2.75,1.75,1,0,0,0,0.75,0,1.5,1,0,0.75,0.25,0.25,0,0.5,5,24
10/1/2020,7.5,12.75,4,5,2.75,0,0,0,0,0,0,1,0.75,0,0.25,1.25,0.25,0.25,1,5,24
10/2/2020,7.5,13.25,3,1.25,9,0,0,0,0,0,0,0,0.5,1,0.25,0,0,0,1.5,4.8,24
10/3/2020,7.5,14.25,0,13.75,0.5,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0,0,0.75,6,24
10/4/2020,6.5,10.25,0,7,2.75,0.5,0,0,0,0,0,0,1.25,1.5,0,2.25,0,0,2.25,5,24
10/5/2020,12,3.75,2,1.75,0,0,0,0,0,0,0,0,1.75,2.75,0,0.75,0.25,0,2.75,2,24
10/6/2020,8,10.75,3.25,4.5,2,0,0,0,0,0,0,1,1.5,1,0,0.5,0.25,0.25,1.75,6,24
10/7/2020,7.75,9.75,1.75,3.25,0,1,0,0,0,2.25,0,1.5,1.25,1.75,0,2,0,0,1.5,5,24
10/8/2020,7.5,12.75,3,2.5,4,1.25,0,0,0,1.25,0,0.75,1,1.5,0,0,0.25,0.25,0.75,4,24
10/9/2020,7.25,12,1.5,4,6.5,0,0,0,0,0,0,0,1.25,0.5,0.5,1.75,0.25,0.25,0.25,5,24
10/10/2020,6.25,14.75,1,10.75,0.5,0,0,0,0,2.5,0,0,0.75,0.5,0.5,0,0.25,0.25,0.75,5,24
10/11/2020,9.25,11.25,0,8,2.5,0,0,0,0,0.75,0,0,0.5,0.75,0.5,0.5,0,0,1.25,4,24
10/12/2020,9.5,9.5,2.75,3,1,0.5,0,0,0,1.5,0,0.75,2.75,0.5,0.5,0,0.25,0,1,4,24
10/13/2020,8.25,11.25,7.25,4,0,0,0,0,0,0,0,0,1.75,0.75,0.5,0,0.25,0.25,1,3,24
10/14/2020,7.25,9.5,4,1.75,1.25,0.75,0,0,0,0.75,0,1,1.25,2,0,2.25,0.25,0.25,1.25,6,24
10/15/2020,8.75,8.5,1.25,3.75,2.5,0,0,0,0,0,0,1,2.25,1.25,1,0,0.25,0,2,6,24
10/16/2020,8.5,11.25,1.25,1.25,7,1.5,0,0,0,0.25,0,0,1.25,1.25,0,0,0.5,0.25,1,6,24
10/17/2020,7.75,7.5,2.5,3.5,0,0,0,0,0,0.75,0,0.75,3,1,0.75,2,0.25,0.25,1.5,6,24
10/18/2020,9,9,0,9,0,0,0,0,0,0,0,0,0.75,1,0,2,0.25,0,2,4,24
10/19/2020,9.5,9,1.5,5.75,0,1.75,0,0,0,0,0,0,0.75,3.5,0.5,0,0.25,0,0.5,3,24
10/20/2020,9,9,2.75,3,1,0,0,0,0,0,0,2.25,1.5,1.25,1,1,0.25,0.25,0.75,5,24
10/21/2020,8.25,8,1.5,1.5,3,0.75,0,0,0,0,0,1.25,2,2.25,0,1.75,0.25,0.25,1.25,5,24
10/22/2020,9.25,9.25,2,2.75,3.5,0,0,0,0,0,0,1,0.75,0.75,0,1,0.25,0,2.75,3,24
10/23/2020,9,12.5,0,5.25,7.25,0,0,0,0,0,0,0,0.5,0.5,0,0,0.25,0,1.25,5,24
10/24/2020,7.5,14,0,11.5,2.5,0,0,0,0,0,0,0,0,0,0,1,0,0,1.5,3,24
10/25/2020,9.75,8,0.5,0.5,7,0,0,0,0,0,0,0,1.75,1,0,1,0.25,0,2.25,3,24
10/26/2020,8.25,10.5,3,1.5,5.25,0.5,0,0,0,0.25,0,0,1.25,0.5,0,2,0.25,0,1.25,5,24
10/27/2020,8.25,10,0,2,4.25,2.25,0,0,0,1.5,0,0,0.5,1.25,2,1,0.25,0,0.75,6,24
10/28/2020,8,13.25,8.75,0,3.75,0,0,0,0,0,0,0.75,0.75,0.75,0,0,0,0,1.25,7,24
10/29/2020,10.5,9.75,2,0.5,5,1.25,0,0,0,0,0,1,2.25,0.25,0,0,0.25,0,1,6,24
10/30/2020,8.75,8,1.5,0,5.25,0,0,0,0,1.25,0,0,2.75,0.25,0,2.5,0.25,0,1.5,5,24
10/31/2020,9,7.25,0.5,0.75,1.75,0,0,0,0,3.25,1,0,1,0.75,1.25,3,0.5,0,2.25,6,25
11/1/2020,6.75,13.75,0,7.75,5.25,0.25,0,0,0,0.5,0,0,1,0,0.5,0.5,0.25,0,1.25,4,24
11/2/2020,10,9.25,3.75,0.5,1.5,0.75,0,0,0,2.75,0,0,2.25,1.25,1,0,0.25,0,0,6,24
11/3/2020,8.5,9.5,0.5,1.5,5,0,0,0,0,1.5,0,1,1.5,1,0.75,0,0.25,0.25,2.25,7,24
11/4/2020,8,10.75,3.75,0,1,0.75,0,0,0,3.25,0.5,1.5,1.25,1.5,0.75,0,0.25,0.25,1.25,8,24
11/5/2020,7.5,11.75,1.25,4.5,2,1.25,0,0,0,0,1.25,1.5,1.25,2,0.25,0,0.25,0.25,0.75,7,24
11/6/2020,8.25,10,0,2.75,2.5,0,0,0,0,3.75,0,1,1.25,1.25,1,1.75,0.25,0.25,0,7,24
11/7/2020,8.25,9.75,0,9.75,0,0,0,0,0,0,0,0,2.25,0.75,1,1.5,0.25,0.25,0,5,24
11/8/2020,8.25,9.75,4.5,2.75,2,0,0,0,0,0.5,0,0,1,1.25,1.75,0.75,0.25,0.25,0.75,6,24
11/9/2020,8,9,0,3.75,0,0,0,0,0,4,0,1.25,2.25,1.25,1.25,1.25,0.5,0,0.5,4,24
11/10/2020,8.5,6.5,0.25,3.5,2,0,0,0,0,0.75,0,0,2,2.5,2.25,1,0.25,0,1,6,24
11/11/2020,8.75,10.25,1.75,0.5,4,0.5,0,0,0,2.5,0,1,1.75,0.25,1,1,0.5,0.25,0.25,5,24
11/12/2020,8.5,10,0.75,3.25,5,0,0,0,0,0,0,1,1.5,0.5,1,0,0,0,2.5,7,24
11/13/2020,5.5,13.25,1.75,1,6.75,0,0,0,0,3.75,0,0,2.25,0.25,1,0.5,0.25,0,1,5,24
11/14/2020,7.5,11,0.5,7.25,2,0,0,0,0,0,0.5,0.75,1.25,0.5,0.75,1.75,0,0,1.25,8,24
11/15/2020,7.5,10.25,1,6.75,2.25,0,0,0,0,0.25,0,0,1,1.25,0.75,0,0.5,0.25,2.5,4,24
11/16/2020,10.75,5,2,2.25,0,0,0,0,0,0.75,0,0,1.5,1.5,0,0.5,0.25,0.25,4.25,2,24
11/17/2020,9.5,8.75,4.5,3.25,0,0,0,0,0,0,1,0,0.75,1,0,2,0.25,0.25,1.5,7,24
11/18/2020,8,8.75,1,1.5,0.25,4.75,0,0,0,0,0,1.25,3.75,1.25,0.75,0.75,0.25,0,0.5,7,24
11/19/2020,8,11.25,1.25,4,2.75,2.25,0,0,0,0,0,1,1.25,1.25,1,0,0.5,0.25,0.5,7,24
11/20/2020,8,9.25,0,2.75,4.25,0,0,0,0,0.5,1.75,0,2.25,2.25,0.5,1,0.5,0.25,0,5,24
11/21/2020,8,11.5,0,9.5,1.75,0.25,0,0,0,0,0,0,2,0.25,0.5,1,0,0.25,0.5,4,24
11/22/2020,7.5,9.5,0.5,8.5,0.25,0.25,0,0,0,0,0,0,1.5,0.5,0.75,0,0.25,0.25,3.75,2,24
11/23/2020,8,8.5,0,0,8.5,0,0,0,0,0,0,0,1.75,2,0.75,1.5,0,0.5,1,6,24
11/24/2020,8.25,11,4,1.5,4.5,0.25,0,0,0,0.25,0,0.5,1,0.75,0.5,0,0.75,0.25,1.5,8,24
11/25/2020,8,10.25,0.5,0,0,6.75,0,0,0,0,3,0,1.75,2.25,0.5,0,0.5,0.25,0.5,8,24
11/26/2020,8.25,7.5,1,0,0,1,0,0,0,0,5.5,0,3,2.25,0.25,0.5,0.25,0,2,6,24
11/27/2020,8.25,7,2.25,0,1,0,0,0,0,0,3.75,0,2,2,0,3,0.25,0.25,1.25,6,24
11/28/2020,9.25,6.5,0.25,0,3,0.75,0,0,0,0,2.5,0,3,2,1,0,0.5,0.25,1.5,6,24
11/29/2020,8.25,8.5,4,1.75,2.5,0,0,0,0,0,0.25,0,3.25,1.5,0,0,2,0,0.5,2,24
11/30/2020,8.25,9.25,0.5,2.75,4,1.75,0,0,0,0,0.25,0,1.75,2.25,0.25,0,2,0.25,0,8,24
12/1/2020,8.5,10.5,2,6,2.5,0,0,0,0,0,0,0,0.75,0.5,0.5,2,0.75,0.25,0.25,9,24
12/2/2020,7.75,9.75,1,5.75,1.25,0.75,0,0,0,0,0,1,1.75,2.5,0.5,0.5,0.75,0.25,0.25,8,24
12/3/2020,8.75,9.25,1,5.25,1.5,0,0,0,0,0,0,1.5,1.75,2,0.25,1.25,0.25,0.25,0.25,8,24
12/4/2020,7.25,11.5,0.5,3,7.5,0,0,0,0,0.5,0,0,1.5,1.25,0.25,1.25,0.25,0.25,0.5,6,24
12/5/2020,9,11,1.5,2,6.5,0,0,0,0,0.5,0.5,0,1.25,0.75,0.25,0,0.5,0.25,1,5,24
12/6/2020,7,10,3.75,2.5,3.75,0,0,0,0,0,0,0,1.75,1.5,0.25,2.25,0.75,0.25,0.25,7,24
12/7/2020,7.25,7.25,0.75,2,2.75,0,0,0,0,0,1.75,0,3.25,2.5,0.25,1.25,0.5,0.25,1.5,9,24
12/8/2020,8.5,10.25,3.75,4.5,0,0,0,0,0,0,1,1,1.75,0.75,0.25,0.5,1.25,0.25,0.5,8,24
12/9/2020,7.75,9.5,1.5,1.5,0,0,0,0,0,6.5,0,0,1.25,1.75,0.5,2,0.75,0.25,0.25,6,24
12/10/2020,9,11.25,3.25,2,0,0,0,0,0,5,0,1,1.25,1,0.25,0,0.75,0.25,0.25,7,24
12/11/2020,7.75,10.5,0.25,5.25,0,0.75,0,0,0,4.25,0,0,2,1.5,0.25,0,0.75,0.25,1,5,24
12/12/2020,8,9.75,1.75,8,0,0,0,0,0,0,0,0,2.5,1.5,0,0,0.25,0,2,4,24
12/13/2020,9.75,5.75,5,0,0,0,0,0,0,0,0.75,0,1.75,1.5,0.25,4,1,0,0,8,24
12/14/2020,8,8.75,5.25,3,0,0,0,0,0,0,0.5,0,2.5,2.5,0.25,0.5,0.75,0.25,0.5,6,24
12/15/2020,9,9,4.25,4.75,0,0,0,0,0,0,0,0,1.75,1.5,0.25,0,1,0,1.5,5,24
12/16/2020,8.5,9.75,9.75,0,0,0,0,0,0,0,0,0,1.75,1.5,0.25,0,1,0.25,1,5,24
12/17/2020,9,8,0.25,6.75,0,0,0,0,0,0.5,0.5,0,1.25,1,0.25,0.5,2,0.25,1.75,7,24
12/18/2020,8.75,4.5,0,3.5,0,0,0,0,0,1,0,0,2.5,1.75,0.25,2,2,0.25,2,8,24
12/19/2020,8,6.75,0,6.75,0,0,0,0,0,0,0,0,1.5,1.5,1.5,0,1.75,0.25,2.75,6,24
12/20/2020,9,6.25,0,5.5,0.5,0,0,0,0,0.25,0,0,1.5,2,0.25,3.5,1,0.25,0.25,7,24
12/21/2020,10,5.75,0,1.25,0,2,0,0,0,0.75,0.75,1,1,2,0.75,0.25,3.25,0.25,0.75,7,24
12/22/2020,8.5,5.75,0,1.75,0,0,0,0,0,1.5,1.25,1.25,2.25,2.5,0.5,1.75,1,0.25,1.5,5,24
12/23/2020,8.5,4,0,0,0,0.25,0,0,0,2.5,1.25,0,2.5,1.5,0.5,4.75,1,0.25,1,7,24
12/24/2020,8.5,5.5,0,0,0,0,0,0,0,0,5.5,0,1.5,2.5,0.25,1.5,3.5,0.25,0.5,7,24
12/25/2020,8.75,7.75,0,0,0,0,0,0,0,0,7.75,0,1.5,0.75,0.25,0.5,0.75,0.25,3.5,8,24
12/26/2020,11.25,7,0,2.25,0.25,2,0,0,0,0,2.5,0,2,1.5,0.25,0,0.75,0.25,1,6,24
12/27/2020,10,7.75,0,5.5,0,1.5,0,0,0,0,0.75,0,1.25,1.75,0.25,1,0,0.25,1.75,7,24
12/28/2020,9,5.5,0,2,3.25,0,0,0,0,0,0.25,0,4,2.5,0.25,2,0.5,0.25,0,5,24
12/29/2020,8.25,8.75,0,2.5,6.25,0,0,0,0,0,0,0,1.75,2,0.25,0,1,0.25,1.75,6,24
12/30/2020,11,7,0,0,4.5,0,0,0,0,0,2.5,0,2.5,2.25,0.25,0,0.75,0.25,0,5,24
12/31/2020,6.5,6.5,0,0,0,0,0,0,0,2.25,4.25,0,1.75,3,0.25,2.5,1.5,0.25,1.75,8,24
1/1/2021,7.25,9.75,0,3.5,0,0,0,0,0,0,6.25,0,1.75,2,0.75,0.5,1.5,0.25,0.25,9,24
1/2/2021,10.5,4.5,0,0.5,0.5,3.5,0,0,0,0,0,0,1.75,1.75,1.25,2.25,0.75,0.25,1,7,24
1/3/2021,6,8,0,3,2.75,0.5,0,0,0,0,1.75,0,3,1.25,2,2.25,0.25,0.25,1,8,24
1/4/2021,7.5,7.75,0,1.25,0,5.75,0,0,0,0,0.75,0,2.75,2,0.75,3,0,0.25,0,8,24
1/5/2021,7.75,11.25,0,3,2.25,5.5,0,0,0,0,0.5,0,2,1.5,1,0,0.25,0.25,0,9,24
1/6/2021,7,10.5,0,1,2.25,1,0,0,0,0,5.5,0.75,2.25,1.75,1,0.75,0.25,0.25,0.25,6,24
1/7/2021,9,7.5,0,1.75,0,0,0,0,0,2.25,3.5,0,1.75,0.5,1,2.75,0.5,0.25,0.75,5,24
1/8/2021,8,7,0,3.75,0,0,0,0,0,0,2.75,0.5,1.75,1.75,3.75,0.5,0.25,0.25,0.75,5,24
1/9/2021,8.75,9,0,3.5,0,0,0,0,0,1,4.5,0,2.5,1.5,0.75,1,0,0,0.5,6,24
1/10/2021,8.25,6.5,0,1.75,1,0,0,0,0,0,3.75,0,2.5,2,0.5,1.5,0.25,0.5,2,6,24
1/11/2021,9,8.75,0,0.5,1,0,0,0,0,0,6.5,0.75,2.75,2.25,0.75,0,0.25,0.25,0,7,24
1/12/2021,9,6.75,0,1.75,0.75,0,0,0,0,1.5,2.25,0.5,1.75,0.5,0.75,4,0.5,0.25,0.5,7,24
1/13/2021,8.75,5,0,1.5,0.25,0,0,0,0,1,2.25,0,2,3.25,2,1.5,0.25,0.25,1,7,24
1/14/2021,8.75,11.25,0,4.75,2.5,0.5,0,0,0,0,3.25,0.25,1.75,1.75,0,0,0.25,0.25,0,8,24
1/15/2021,8,10.75,0.25,3.75,2.75,0.75,0,0,0,2,1.25,0,1.75,1,1.75,0,0.25,0.25,0.25,8,24
1/16/2021,8.25,10.5,0,8.75,0.5,0,0,0,0,0,1.25,0,1.75,1.25,1.5,0,0.25,0,0.5,4,24
1/17/2021,8.25,11,0,10,1,0,0,0,0,0,0,0,1.5,0.75,0,1.5,0,0.25,0.75,6,24
1/18/2021,7.25,10.25,0,6.75,2.5,0.75,0,0,0,0,0,0.25,2.25,1,1,0,0.25,0.25,1.75,7,24
1/19/2021,11,8.5,3.25,3,0.75,0,0,0,0,0,0,1.5,1.75,1.25,0.25,0,0.25,0.25,0.75,6,24
1/20/2021,8.25,8.5,1,4.5,0,0,1,0,0,0,0,2,1.75,1.75,2.75,0,0,0.25,0.75,6,24
1/21/2021,7.75,9.25,0,2.5,2.25,0,0,0,0,0,4.5,0,1.5,0.75,1,1.5,0.25,0.25,1.75,4,24
1/22/2021,8,9.75,0.75,0,5.5,0,0,0,0,1,0.75,1.75,1.25,2,1.25,0,0.25,0.25,1.25,6,24
1/23/2021,8.25,8.75,5.5,0.75,1,0.25,0,0,0,1,0,0.25,1.5,1.5,1,2,0.5,0.25,0.25,5,24
1/24/2021,6.75,11,0,5,2,0,0,0,0,3.75,0.25,0,1.75,1,2,0,0.25,0.25,1,6,24
1/25/2021,9.25,12.25,4.25,2,2.5,0.5,0,0,0.25,0,0,2.75,1.25,0.5,0.25,0.25,0.25,0,0,8,24
1/26/2021,7.5,11.25,1,2.75,3.5,0,0,0,0,0,3.25,0.75,1.75,0.75,1,1,0.25,0.25,0.25,6,24
1/27/2021,7,13.75,1,1,8.25,0,0,0,0,2,0,1.5,1.25,0,1.25,0.5,0,0,0.25,7,24
1/28/2021,9.25,10.75,0.5,4.75,2.5,0,0.25,0,1,1,0,0.75,1.25,1,0.25,0.5,0.25,0,0.75,6,24
1/29/2021,8.5,12,0.25,1.5,2.25,0,1.75,0,0,4.5,0,1.75,1.25,0.25,0.5,0.5,0.25,0.25,0.5,8,24
